sample	K00344	K14161	K02112	K00997	K19338	K07266	K22409	K20975	K00974	K09471	K21062	K02054	K01555	K11354	K07588	K05964	K15586	K11894	K21703	K00452	K00844	K00647	K03742	K13028	K15916	K11080	K02410	K02858	K10004	K15256	K19221	K07331	K10531	K07664	K00263	K22104	K07692	K02304	K15789	K13609	K03675	K06042	K08683	K16371	K19222	K02386	K02523	K08097	K01963	K18930	K01950	K03973	K18905	K08305	K23463	K22879	K04796	K01182	K00956	K00630	K06870	K01903	K01551	K14840	K00700	K01554	K00299	K20483	K03328	K15408	K11995	K22552	K07518	K06013	K07480	K21829	K10560	K18609	K12284	K08972	K08301	K03558	K15372	K00023	K07723	K02116	K18991	K22319	K02920	K05523	K20497	K00262	K00864	K07788	K00604	K00041	K03149	K05275	K02049	K17205	K05556	K22214	K13355	K00817	K08697	K06377	K17105	K02502	K03519	K00324	K00166	K03855	K17592	K09908	K14260	K18123	K05782	K03415	K18990	K12209	K10945	K22894	K02783	K02481	K06941	K00435	K14301	K22553	K06163	K02911	K08641	K02196	K08977	K16740	K07010	K16244	K22747	K18399	K06937	K09947	K00253	K02899	K15024	K03043	K20444	K16874	K19048	K13039	K14215	K14540	K11902	K07776	K08321	K24136	K09252	K06879	K21008	K01817	K14446	K03535	K02394	K05603	K07457	K03538	K00275	K23414	K01628	K03978	K06048	K10199	K03057	K07743	K20265	K12942	K03930	K05580	K11082	K07505	K07991	K02935	K12255	K00284	K03593	K08137	K18297	K00364	K00278	K00426	K16255	K01118	K14584	K24017	K07667	K11072	K11910	K11163	K10544	K00036	K22478	K02639	K06207	K01585	K16212	K01710	K18929	K05535	K01822	K04651	K06287	K02471	K06906	K23237	K10563	K04116	K03631	K05798	K23275	K00384	K05795	K23167	K00970	K13061	K00130	K14709	K21134	K15974	K05895	K11074	K03743	K19507	K00737	K00884	K18933	K00208	K08227	K16904	K04761	K10005	K11495	K11895	K21563	K02551	K13635	K00266	K22549	K07306	K21801	K22185	K10018	K02422	K03059	K08311	K00123	K15530	K21689	K23148	K16091	K00276	K21019	K09988	K08234	K18996	K01997	K03040	K05531	K23988	K24119	K03812	K09024	K00666	K07313	K19116	K12373	K00626	K01929	K07102	K21564	K15429	K02558	K06952	K01738	K21822	K07675	K09140	K05521	K13670	K10843	K12251	K01814	K12981	K06865	K22085	K08152	K00526	K08264	K02024	K16563	K02529	K16554	K02418	treatment	Group1	Group2
R44	484	62	600	132	0	0	0	0	28	34	11	130	110	0	214	0	0	0	69	104	22	0	228	9	11	12	178	0	19	17	50	0	0	9	0	0	42	77	20	0	0	18	131	0	87	35	94	66	226	0	91	23	0	401	0	9	0	0	49	0	0	67	225	0	440	0	26	13	0	0	0	14	0	291	54	0	0	0	0	214	0	95	91	79	0	59	0	0	0	0	0	32	98	0	103	0	482	325	289	0	0	0	0	208	0	0	0	41	116	130	0	8	0	0	0	17	17	0	0	0	32	180	0	344	706	47	3	0	7	56	188	5	0	0	281	0	0	0	459	35	120	160	16	592	90	58	0	0	0	0	8	0	22	0	32	0	4	47	56	0	106	16	11	0	295	0	71	129	697	0	0	1	60	9	0	0	0	0	0	294	0	0	1178	14	16	0	26	465	0	70	0	0	77	50	0	44	0	515	0	0	646	25	0	53	55	0	5	30	365	121	0	0	192	0	492	0	0	316	0	0	42	0	31	0	0	0	0	33	68	0	0	11	26	233	11	0	27	0	0	23	0	36	0	20	0	0	0	0	0	0	0	81	0	0	0	0	0	0	17	5	105	0	2996	1980	0	14	0	0	0	136	48	0	220	476	208	121	0	0	117	41	127	0	22	3	0	0	38	55	32	0	0	5	0	331	36	68	0	89	104	45	N0_W	N0	W
R45	746	198	734	208	0	0	0	31	16	48	0	201	135	0	313	0	0	0	98	136	26	53	340	0	11	0	214	39	0	37	118	0	0	25	29	0	0	135	13	0	0	18	140	0	158	68	148	90	194	75	68	67	7	517	0	22	0	0	62	0	0	171	336	0	930	0	43	15	0	58	0	0	32	407	70	0	0	0	0	233	74	164	96	111	2	55	0	0	0	0	8	60	139	202	156	0	477	508	742	0	0	0	0	328	0	0	0	131	247	97	0	9	0	0	36	85	8	0	12	0	0	365	0	966	987	79	0	0	7	54	227	10	8	0	308	0	0	0	528	20	74	209	9	1246	598	131	0	0	0	0	40	0	44	0	73	0	6	126	126	0	178	34	6	0	355	0	119	212	1012	0	0	3	161	0	59	0	0	0	0	0	0	0	1112	0	30	0	88	518	0	59	0	7	163	165	0	106	69	767	0	0	815	17	7	96	183	0	19	89	412	217	0	0	219	0	695	0	0	568	0	13	0	0	0	0	0	0	14	0	175	0	0	64	0	366	0	5	29	10	0	35	0	49	0	40	0	0	0	41	7	15	0	114	0	0	0	0	0	37	22	16	90	0	4462	2214	0	9	0	0	0	558	53	0	408	960	232	221	0	0	96	83	279	0	12	0	11	0	16	65	66	0	0	5	0	365	91	166	0	201	281	45	N0_W	N0	W
R46	794	107	735	152	0	0	0	51	41	97	0	34	106	0	327	0	0	0	26	140	21	31	234	8	29	0	197	7	15	36	109	0	0	0	0	0	29	146	0	0	0	49	120	0	147	50	72	113	195	0	0	155	8	761	0	23	6	0	52	0	0	134	426	0	712	0	28	35	0	0	0	0	0	331	69	0	0	0	0	277	54	138	72	181	2	82	0	0	0	0	0	43	141	0	111	14	564	422	414	0	0	0	17	173	0	0	0	46	120	91	0	8	0	0	39	0	6	0	0	0	25	263	9	82	860	64	0	13	7	63	225	35	0	0	312	0	38	0	402	30	75	183	13	995	154	50	0	9	0	21	2	31	51	0	60	0	0	31	45	0	132	42	0	0	0	4	82	149	1036	0	0	6	102	9	0	0	0	0	0	368	0	0	1235	0	31	0	19	659	0	72	0	27	116	130	0	40	31	468	0	0	860	23	0	50	92	0	9	52	300	182	0	0	161	0	581	0	0	541	7	25	20	0	0	0	0	0	32	28	105	0	0	0	0	350	12	0	43	12	0	18	8	66	0	0	0	0	23	0	0	10	2	136	0	0	0	0	48	11	16	15	84	0	3078	2023	0	5	0	0	0	97	29	0	163	699	123	226	0	0	94	71	32	0	62	3	8	0	61	75	44	0	0	12	0	438	67	43	0	102	70	40	N5_C	N5	C
R47	771	55	624	151	19	0	0	59	0	61	40	46	153	0	231	0	0	0	19	132	0	69	305	19	37	0	172	55	96	40	115	0	0	8	0	9	49	120	0	0	0	54	86	0	130	47	125	91	87	40	0	89	0	655	0	11	1	0	159	0	0	181	324	0	705	11	24	30	0	0	0	0	0	239	70	0	11	16	0	282	39	137	110	127	0	68	0	0	0	0	0	56	114	0	100	0	443	456	427	0	0	0	0	176	0	0	0	74	108	118	0	0	0	0	21	35	32	0	9	0	39	177	7	158	908	45	0	21	20	0	246	12	0	0	308	0	0	5	407	23	139	186	13	546	164	60	0	8	0	17	10	8	62	10	38	0	11	81	111	0	118	16	15	0	362	0	29	147	997	0	2	8	39	23	14	0	0	0	0	327	0	0	1184	0	0	0	45	583	0	62	0	7	122	143	0	0	25	628	0	0	754	134	0	55	159	0	17	50	299	175	0	0	231	0	583	0	0	491	2	0	0	0	0	0	76	0	11	16	123	0	0	0	0	446	7	0	116	11	0	11	0	35	0	45	0	0	0	0	0	15	0	136	0	0	0	0	0	30	0	10	98	0	3038	2021	0	4	0	0	0	246	60	0	95	645	121	202	7	0	68	66	72	0	37	2	0	0	56	47	49	0	0	9	0	482	21	17	0	63	44	69	N5_C	N5	C
R48	753	89	674	115	11	0	0	73	42	40	13	87	199	0	260	0	0	0	53	83	0	49	132	12	21	0	190	33	75	25	124	0	0	0	0	0	11	120	8	0	0	67	132	0	125	50	131	76	137	41	36	98	12	689	0	73	6	0	66	0	0	145	320	0	668	8	30	21	0	0	0	26	0	354	83	0	0	0	0	289	110	204	113	191	0	57	0	0	0	0	0	39	118	0	62	0	408	367	409	0	0	0	0	158	0	0	0	23	152	153	0	8	0	0	20	14	3	0	0	0	8	253	8	47	835	74	0	10	47	82	244	7	0	0	267	0	0	0	370	42	30	215	0	902	145	23	0	6	0	0	7	21	15	0	27	0	0	65	176	0	130	39	0	0	354	0	80	191	964	0	0	0	62	15	13	0	7	0	0	352	0	0	1069	0	0	0	59	612	0	94	0	0	167	119	0	10	18	576	0	0	899	0	0	0	100	0	0	57	0	149	0	0	257	0	527	0	0	355	9	11	28	0	44	0	0	4	14	20	46	0	0	0	0	356	12	3	83	22	3	18	0	56	0	21	0	0	0	11	0	8	0	173	60	0	0	0	0	66	0	6	94	0	3175	1928	0	0	0	0	0	79	60	0	109	614	160	169	28	11	28	99	44	0	0	3	12	0	75	86	114	0	0	9	0	459	53	28	0	100	0	48	N5_C	N5	C
R49	756	79	916	165	0	4	0	31	23	15	0	84	180	0	337	0	0	0	16	147	0	0	211	15	4	0	198	41	58	24	128	0	0	10	0	0	0	92	7	0	4	27	148	0	180	17	128	112	216	0	30	66	17	721	0	33	0	0	121	0	0	214	353	0	769	8	30	12	0	40	0	0	0	380	69	0	0	0	6	313	146	137	95	92	0	71	0	0	0	0	21	79	85	0	110	0	375	474	350	0	18	26	0	375	0	0	0	91	187	206	0	15	0	0	29	0	16	0	11	0	0	351	0	145	932	45	0	46	28	65	223	13	0	0	394	0	0	0	548	27	144	158	13	782	178	73	0	0	0	0	27	16	8	0	13	0	0	56	147	0	199	17	11	0	432	0	79	175	1109	0	0	0	111	15	26	0	0	0	0	325	0	0	1127	21	0	9	24	685	0	107	0	0	136	115	0	42	0	639	0	0	749	38	0	9	148	3	20	76	461	266	2	0	257	0	573	0	0	435	0	0	0	0	73	0	109	0	13	34	74	0	0	0	0	339	0	0	65	0	0	55	4	45	0	118	0	0	20	0	0	10	0	131	68	0	0	0	0	75	10	16	127	0	3983	1999	0	0	6	0	0	71	59	0	191	669	103	148	0	0	72	70	90	0	30	0	9	16	5	61	110	0	0	8	0	529	47	14	0	140	56	52	N5_C	N5	C
R50	594	95	758	131	0	0	0	93	38	76	18	162	146	0	278	0	0	0	78	114	18	14	219	19	19	0	248	45	0	17	131	0	0	11	0	0	0	61	11	0	0	32	145	0	134	67	176	96	196	33	85	78	0	748	0	39	0	0	73	0	0	20	315	0	612	8	30	10	0	0	0	0	0	256	106	0	0	0	7	300	149	155	106	111	8	60	0	0	0	0	0	36	269	94	94	0	456	308	536	0	0	0	0	181	0	0	0	0	202	105	18	8	0	0	5	43	0	0	0	0	5	314	4	343	982	33	0	33	20	66	185	12	0	0	307	0	0	0	382	56	87	196	0	1039	198	71	0	0	0	0	31	21	66	0	100	0	0	35	110	0	181	58	0	0	375	0	92	173	960	0	0	0	118	7	33	0	0	0	0	0	0	0	1046	0	41	0	42	594	0	89	0	9	186	62	0	67	110	716	0	0	702	88	0	91	82	0	4	59	374	203	0	0	195	0	515	0	0	566	0	0	20	0	0	0	0	0	23	36	109	0	0	44	0	468	10	0	13	29	0	38	0	48	0	80	0	0	0	0	0	23	0	137	0	0	0	0	0	51	20	28	61	0	3999	1843	0	0	0	0	0	450	40	0	219	709	143	172	11	0	67	80	149	0	25	0	0	0	46	35	67	0	0	7	0	502	101	69	0	87	296	62	N5_C	N5	C
R51	900	49	835	126	17	0	0	56	58	109	0	52	187	0	299	0	0	0	32	120	0	31	175	17	30	0	129	22	41	0	72	0	0	0	0	4	0	120	4	0	0	46	96	0	89	19	71	108	127	0	0	86	10	657	0	33	0	0	118	0	0	108	240	0	733	15	12	59	0	0	0	0	0	312	118	0	0	6	0	293	72	104	103	114	0	83	0	0	0	0	32	95	128	0	83	0	493	275	486	0	0	0	0	232	0	0	0	55	67	128	0	7	0	0	17	20	15	0	0	0	0	343	0	247	802	82	0	15	18	50	237	12	0	0	284	0	0	0	332	37	95	153	0	925	663	61	0	0	0	0	0	28	18	0	0	0	0	32	202	0	139	79	0	0	299	0	47	129	1070	0	0	5	62	0	10	7	0	0	0	305	0	0	1119	0	13	0	100	593	3	74	0	10	143	47	0	13	41	608	0	0	731	41	0	58	97	0	5	36	307	155	0	0	253	0	520	0	0	458	0	0	75	0	0	0	0	0	0	0	89	0	0	0	0	325	0	3	27	12	0	51	0	43	0	0	0	0	0	0	0	2	0	149	0	0	0	0	0	0	25	11	94	5	3061	1945	0	0	0	0	0	82	54	0	160	593	225	119	9	0	140	83	47	0	114	2	10	0	26	74	27	0	0	3	0	483	28	77	0	108	0	30	N5_C	N5	C
R52	729	130	779	151	0	0	0	43	25	58	0	109	115	0	422	0	0	0	67	110	15	22	285	14	36	0	235	101	27	10	129	0	0	9	0	9	0	91	6	0	0	30	155	0	154	53	203	116	226	18	63	99	0	500	0	13	0	0	50	0	0	120	258	0	749	0	29	15	0	0	0	0	0	413	98	0	15	0	0	242	285	154	146	98	0	44	0	0	0	0	0	21	74	101	131	0	548	391	517	0	0	37	0	308	0	0	0	68	253	113	0	19	0	0	0	79	17	0	0	0	13	381	0	423	834	71	0	0	18	50	193	7	0	0	340	0	0	0	541	32	68	231	29	655	295	15	0	0	0	0	13	11	15	0	44	0	6	66	75	0	189	51	9	0	439	0	158	143	997	0	0	9	132	7	67	0	0	0	0	0	0	0	1072	0	53	0	111	557	0	63	0	0	206	72	0	58	85	683	0	0	717	0	0	41	133	0	8	27	356	222	0	0	287	20	605	0	0	483	0	32	25	0	0	0	0	0	11	23	138	0	0	73	0	423	9	6	48	26	0	22	0	67	0	97	0	0	0	26	0	32	0	106	0	0	0	0	0	27	0	0	93	0	3664	2010	0	6	0	0	0	415	75	0	364	798	197	156	0	0	78	47	197	0	19	0	17	11	59	107	45	0	0	4	0	392	0	64	0	234	319	50	N10_C	N10	C
R53	819	142	850	249	0	5	0	169	36	128	0	133	167	0	351	0	0	0	35	171	0	73	341	10	21	0	303	55	14	29	85	0	0	20	31	0	0	113	21	0	0	31	163	0	147	82	157	140	89	0	62	92	14	812	0	61	0	0	104	0	0	200	323	0	754	13	68	21	0	45	0	59	0	439	57	0	0	0	0	306	34	211	150	155	0	107	0	0	0	0	0	43	165	0	203	0	687	427	627	0	0	0	0	315	1	0	0	56	233	258	23	14	0	0	35	19	16	0	48	0	7	436	6	245	1052	99	0	0	17	71	267	13	0	0	449	3	28	0	457	54	61	0	0	1470	169	120	2	0	0	0	39	26	36	0	49	4	0	115	75	0	242	46	4	0	487	0	50	175	1217	0	0	5	111	0	36	0	11	6	0	347	0	0	1215	0	0	0	67	632	0	57	0	0	328	108	0	50	28	777	0	0	1097	0	0	48	151	0	8	50	481	101	0	0	388	0	829	0	0	637	0	0	34	6	0	0	107	0	29	9	216	0	0	18	0	469	0	0	17	0	0	28	0	65	0	50	0	0	0	7	0	30	0	127	133	0	0	0	0	0	6	26	134	0	4081	2407	0	8	0	0	0	369	78	0	311	1034	236	234	25	0	24	67	249	0	64	0	5	0	62	94	85	0	0	6	7	446	56	0	0	220	71	72	N10_C	N10	C
R54	776	169	881	145	0	0	0	11	58	58	18	64	204	0	369	0	0	0	30	154	16	14	253	10	53	0	246	16	59	11	130	0	0	9	0	8	0	51	0	0	0	36	190	0	182	38	156	146	160	24	98	132	6	614	27	84	0	0	118	0	0	144	409	0	793	13	37	30	0	0	0	0	22	461	12	0	29	0	0	345	36	192	86	125	0	97	0	0	0	0	0	79	160	0	114	0	530	514	459	0	0	26	0	251	0	0	0	84	180	188	55	13	0	0	17	23	0	0	0	0	0	637	0	86	986	120	0	12	10	74	259	8	0	0	376	0	25	0	465	25	121	239	6	970	99	65	5	9	7	0	10	16	34	19	20	7	0	70	130	0	204	64	0	0	519	0	53	201	1067	0	0	5	138	0	19	0	0	0	0	356	0	0	1259	0	0	0	74	675	0	77	0	13	169	197	0	66	91	981	0	0	1073	108	0	56	102	0	20	83	420	83	0	0	409	0	771	0	0	475	0	39	76	0	0	0	65	0	11	0	87	0	0	0	0	397	11	9	75	0	0	43	0	136	0	39	0	69	0	0	0	17	0	150	113	0	0	0	0	63	13	23	171	0	3192	2249	0	0	8	0	0	335	46	0	361	1107	313	244	0	0	95	91	102	0	23	1	8	0	28	65	76	0	0	8	17	444	29	27	0	440	0	52	N10_C	N10	C
R55	730	78	467	137	0	0	0	31	0	24	0	106	133	0	223	2	0	0	46	120	21	41	183	8	4	0	173	37	38	22	99	0	0	10	20	0	0	114	9	0	0	29	121	0	104	19	85	67	247	13	0	71	9	448	0	32	0	0	47	0	0	53	244	0	576	0	25	38	0	0	0	0	0	199	35	0	0	0	0	138	33	117	80	75	0	48	0	0	0	0	0	78	70	0	66	7	442	255	226	0	0	0	0	192	6	0	0	42	138	96	13	12	0	0	27	27	30	10	0	0	0	156	0	146	763	38	0	0	9	51	178	5	0	0	276	0	25	0	466	18	97	152	0	1037	121	28	9	0	0	0	36	12	25	0	20	5	3	80	37	0	103	3	0	0	299	0	65	174	714	0	0	4	137	4	8	0	0	0	0	254	0	0	962	0	0	9	33	486	0	105	0	20	91	77	19	23	37	509	0	0	730	14	0	0	60	0	14	37	345	88	0	2	267	0	499	0	0	313	0	19	0	0	20	0	0	0	22	35	61	0	0	0	0	211	0	0	32	19	0	63	7	52	0	33	0	0	16	13	0	17	0	122	0	0	0	0	0	22	0	7	89	3	3358	1923	0	0	12	2	0	170	23	0	231	563	101	166	20	0	55	62	50	0	17	0	0	0	42	45	47	4	0	1	0	449	15	70	0	208	24	34	N10_C	N10	C
R56	879	116	823	169	0	5	0	102	45	23	0	57	236	0	312	0	0	0	38	111	19	44	186	35	51	0	303	53	54	24	93	0	0	0	18	0	0	61	0	0	0	35	172	0	125	68	120	174	211	32	88	148	15	548	38	32	3	33	134	0	0	148	297	0	845	17	29	8	0	86	0	73	0	498	92	0	0	0	0	296	102	215	97	93	0	54	0	21	0	0	34	71	257	79	126	0	570	544	319	0	0	0	0	316	0	0	0	59	161	114	46	5	0	0	46	0	9	0	22	0	0	595	3	57	875	127	0	13	9	65	321	13	0	0	410	0	38	0	451	26	129	218	18	1207	228	35	5	0	0	0	3	50	22	11	52	0	0	86	121	0	224	84	8	0	418	7	62	189	1251	0	0	8	114	0	27	0	0	0	0	399	0	0	1095	23	0	0	81	566	0	83	0	17	159	151	0	31	75	910	0	0	883	147	0	94	131	0	10	49	381	112	0	0	361	0	813	0	0	531	0	0	27	0	24	0	0	3	18	0	117	0	0	20	0	419	0	0	110	25	0	18	0	143	0	50	0	0	0	22	0	12	3	131	83	0	0	0	0	88	0	13	165	0	2889	2218	0	0	0	0	0	485	96	0	271	880	200	219	0	0	177	64	158	0	55	0	10	0	85	115	71	0	0	4	11	570	24	56	0	226	51	47	N10_C	N10	C
R57	1377	123	1099	293	0	0	0	22	111	171	8	102	394	0	567	0	0	0	82	207	0	0	406	26	97	0	248	107	39	28	175	0	0	15	20	11	11	218	0	0	0	67	250	0	305	96	170	215	254	36	136	234	14	973	0	98	1	0	199	0	0	257	564	0	1039	26	79	31	0	42	0	14	0	483	37	0	42	0	0	507	0	283	179	156	0	89	0	0	0	0	27	149	275	50	326	0	705	844	831	0	0	0	0	542	0	0	0	115	403	344	0	22	0	0	30	0	19	0	14	0	0	1162	6	369	1317	104	0	29	19	107	307	18	0	0	659	0	0	0	450	54	56	280	29	1639	577	95	6	0	0	0	37	45	44	0	68	8	3	159	148	0	207	75	0	0	672	0	100	243	1712	0	0	0	188	0	44	0	11	0	0	439	0	0	1713	0	9	7	62	1033	0	122	10	42	332	252	0	110	86	1567	0	0	1268	155	0	152	223	0	25	75	650	197	0	0	518	21	1078	0	0	839	0	28	106	0	77	0	0	0	23	32	257	0	3	0	50	727	0	0	103	33	0	35	0	262	0	84	23	0	21	10	0	27	0	181	63	0	6	0	0	175	26	27	264	0	4853	2636	0	10	0	0	0	350	86	0	326	1494	348	312	35	0	146	116	117	0	44	0	9	0	54	119	124	0	0	6	12	517	36	81	0	558	37	97	N10_C	N10	C
R58	1255	182	1139	205	0	0	0	155	114	67	31	80	291	0	457	0	0	0	89	187	22	53	307	22	45	0	315	57	63	35	167	0	0	18	28	6	29	188	4	0	0	94	268	0	204	94	216	222	272	84	0	280	17	1102	21	46	5	0	259	5	0	267	570	0	1159	42	62	24	0	0	0	27	13	509	148	0	0	0	6	534	304	275	184	234	0	114	29	15	0	0	16	160	218	0	277	12	670	1012	810	0	0	0	23	546	0	0	0	98	465	232	0	22	0	0	52	14	10	0	14	0	31	794	4	211	1201	168	0	0	22	79	312	28	0	0	586	0	0	0	319	83	119	244	50	1795	421	199	0	11	0	0	20	40	56	0	0	30	5	130	230	0	226	124	0	0	707	6	50	290	1653	0	0	4	188	0	22	0	0	0	0	0	0	0	1568	0	0	19	95	1143	0	101	0	16	342	272	0	25	144	1419	36	0	1294	208	0	64	213	0	52	96	604	339	0	0	460	0	1008	0	0	909	0	23	78	0	35	0	74	18	54	18	226	0	0	10	0	603	0	13	122	97	0	79	0	145	0	145	0	40	0	0	0	21	0	196	130	0	0	0	0	196	15	32	181	4	4692	2677	0	24	0	0	0	612	131	0	283	1488	341	332	24	0	115	146	151	0	77	2	5	0	186	132	166	0	0	11	9	752	62	40	0	500	0	62	N15_C	N15	C
R59	1570	278	1107	280	0	0	0	263	199	205	39	57	351	0	568	0	0	0	139	237	8	132	280	29	62	0	386	105	13	57	125	0	0	0	92	6	0	192	31	0	0	104	242	23	244	89	185	238	324	73	105	241	37	1082	0	122	3	0	249	0	0	398	553	0	1128	54	58	38	0	100	0	98	45	546	60	0	27	0	0	536	207	332	269	339	0	118	16	54	0	0	37	48	381	89	327	0	697	873	852	11	0	0	0	582	0	0	0	160	415	350	17	27	0	0	78	0	56	21	24	0	31	1270	9	46	1320	141	0	33	29	85	352	23	0	0	646	5	70	0	381	58	179	0	6	2073	450	21	6	0	0	15	46	79	56	0	0	34	0	180	131	0	309	187	0	0	696	6	55	293	1768	0	2	0	186	9	96	0	0	0	0	506	0	0	1601	0	25	14	164	1124	0	139	0	6	454	298	0	29	147	1670	33	0	1420	93	0	84	266	0	35	88	665	259	0	0	545	0	1170	0	0	896	0	39	228	0	56	0	0	14	64	19	194	0	0	26	0	674	0	14	170	52	0	120	5	138	0	162	0	0	0	0	0	49	0	188	155	8	15	5	41	77	20	30	216	0	3993	2617	0	25	25	0	0	828	158	0	454	1647	363	412	0	0	86	151	193	0	118	14	0	9	140	165	138	0	0	12	0	772	116	31	0	775	26	96	N15_C	N15	C
R60	856	198	897	217	0	0	0	12	73	49	8	108	263	0	336	0	0	0	62	164	7	9	304	24	64	0	243	63	51	20	143	0	0	0	0	10	8	117	9	0	0	83	249	0	210	93	135	214	174	23	107	130	16	796	0	30	0	0	116	0	0	77	421	0	950	39	81	9	0	0	0	40	0	325	61	0	15	0	4	374	205	267	100	112	0	64	0	0	0	0	35	65	179	0	127	0	517	468	547	0	0	0	0	394	0	0	0	60	305	202	0	22	5	0	31	11	0	0	0	0	0	658	3	208	1166	95	0	15	0	0	214	21	0	0	492	0	0	0	319	68	152	247	0	1050	123	97	2	0	0	0	0	54	14	0	0	0	7	104	228	0	167	98	0	0	514	0	71	197	1417	0	0	0	122	0	0	0	0	0	0	364	0	0	1296	0	0	0	73	823	0	69	10	12	257	218	0	13	19	920	0	0	915	69	0	21	178	0	26	70	472	341	0	0	384	0	913	0	0	668	13	30	73	0	52	0	0	14	22	9	163	0	2	0	0	478	8	0	94	33	0	52	0	118	0	66	0	0	0	9	0	31	0	129	0	0	10	0	0	106	17	9	175	0	3821	2398	0	10	0	2	0	722	54	0	194	825	188	279	6	0	60	100	120	0	41	0	0	0	32	75	91	0	0	16	0	629	68	0	0	273	0	62	N15_C	N15	C
R61	1146	224	869	229	0	0	0	160	105	115	35	74	191	0	360	0	20	0	56	137	0	165	283	22	33	0	324	43	39	35	98	0	0	17	87	0	9	100	36	0	0	57	240	0	185	77	183	149	249	0	55	169	17	856	0	33	0	0	155	0	0	196	418	0	740	16	52	66	0	45	3	22	0	443	149	0	0	0	0	221	77	198	96	137	2	71	0	0	0	0	0	82	182	151	172	15	449	627	981	0	0	0	20	277	0	0	0	97	287	205	34	10	0	0	62	0	42	0	29	0	0	292	1	246	1163	85	0	14	8	79	301	11	0	0	342	0	65	0	377	22	100	227	8	1331	175	22	0	0	0	0	28	10	15	0	20	19	0	101	243	0	296	58	16	0	530	0	32	202	1141	0	0	0	26	0	14	0	11	0	0	427	0	0	1333	0	0	0	75	701	0	113	0	23	199	125	0	14	32	808	0	0	811	193	0	56	173	0	41	45	474	285	0	0	397	0	1003	0	0	675	0	19	21	0	33	0	0	6	21	68	117	4	0	0	0	289	11	6	82	24	0	54	0	154	0	122	0	58	0	23	17	24	0	214	125	0	0	0	0	48	43	43	229	0	4092	2370	0	23	0	0	0	346	44	0	295	1228	236	251	6	0	69	106	109	0	44	0	11	0	117	125	121	0	0	18	10	654	44	17	0	253	61	90	N15_C	N15	C
R62	728	148	842	147	0	0	0	56	16	0	19	101	198	0	252	0	0	0	60	148	0	66	202	22	39	31	223	32	33	21	134	0	0	0	0	0	17	127	1	0	0	53	131	0	110	46	116	131	189	0	0	111	0	798	0	45	0	0	25	0	0	167	349	0	751	15	31	17	0	0	0	26	0	296	43	0	0	0	0	326	77	194	76	147	2	58	0	0	0	0	0	110	49	0	163	0	507	418	501	0	0	0	0	259	2	0	0	127	259	160	0	11	0	0	18	0	20	0	17	0	34	586	0	178	872	92	0	0	19	66	161	14	0	0	288	5	38	0	381	54	128	206	0	1000	248	68	0	6	0	0	0	0	0	0	24	7	19	92	223	0	203	51	0	0	376	0	96	161	1106	31	0	5	51	0	0	0	0	0	0	412	0	0	1192	0	0	0	47	700	0	109	0	0	105	139	0	35	22	659	0	0	765	80	0	88	57	0	13	90	458	122	0	0	306	0	742	0	0	438	0	0	16	0	31	0	78	0	29	13	78	0	0	0	0	511	11	7	78	16	0	34	0	73	0	32	0	46	7	14	0	16	0	148	54	0	8	0	0	71	10	14	133	18	3504	2043	0	3	0	0	0	306	62	0	122	601	126	202	16	0	21	79	150	0	36	2	0	0	23	68	152	0	0	8	9	464	65	40	0	197	0	49	N15_C	N15	C
R63	741	180	935	204	0	0	0	45	101	50	8	122	229	0	465	0	0	0	31	147	16	0	218	8	38	0	301	17	29	9	82	0	0	15	14	9	0	145	0	0	3	55	180	0	167	32	103	122	217	27	22	131	16	756	21	14	0	0	57	0	0	80	505	0	752	5	30	22	0	0	0	0	0	298	61	0	0	0	0	310	111	169	158	117	0	63	0	0	0	0	0	32	126	0	101	0	552	330	420	0	0	0	8	329	5	0	0	115	280	185	7	2	0	0	61	0	3	0	0	0	22	371	5	185	989	106	0	0	8	96	224	6	0	0	442	0	22	0	305	59	118	218	18	1375	162	142	0	0	0	0	8	8	0	13	28	3	0	69	121	0	184	32	7	0	446	0	53	198	1072	0	0	0	119	15	14	0	0	0	0	387	0	0	1329	0	25	0	60	581	0	54	0	5	139	120	0	18	62	661	0	0	924	164	0	14	135	0	7	43	445	213	0	0	303	0	879	0	0	569	10	0	77	0	0	0	0	0	44	8	124	0	0	0	0	356	0	0	52	30	0	20	7	70	0	79	0	46	0	13	0	13	0	154	55	0	0	0	0	27	32	12	99	0	3715	2258	0	0	0	0	0	62	23	0	140	1097	107	293	11	0	18	113	178	0	52	0	6	0	104	31	97	0	0	7	0	423	16	31	0	138	37	66	N15_C	N15	C
